JOURNAL,YEAR,editor_id,FIRST_NAME,MIDDLE_NAME,LAST_NAME,INST,NOTES,INST.CORRECTED,,,,
OECOL,2014,2001,Konrad,NA,Fiedler,NA,,University of Vienna,,,,
PLANTECOL,2012,1299,H,E,Epstein,NA,,University of Virginia,,,,
JECOL,1990,1564,John,R,Etherington,NA,,University of Wales,,,,
JBIOG,2014,3001,Robert,NA,Bryson,NA,,University of Washington,,,,
JBIOG,1985,1134,Forest,NA,Stearns,NA,,University of Wisconsin,,,,
JBIOG,1990,1134,Forest,NA,Stearns,NA,,University of Wisconsin,,,,
JBIOG,2014,716,Dennis,NA,Hansen,NA,,University of Zurich,,,,
EVOL,2015,845,Dan,NA,Robosky,NA,,Unversity of Michigan,,,,
BITR,1996,2374,Mercedes,S,Foster,NA,,USGS Putuxent Wildlife Research Center,,,,
OECOL,2012,1889,John,NA,Stark,NA,,Utah State University,,,,
OECOL,2014,1889,John,NA,Stark,NA,,Utah State University,,,,
PLANTECOL,2012,3905,J,NA,Rozema,NA,,Vrije Universitat,,,,
NEWPHYT,2015,1357,Henk,NA,Schat,NA,,Vrije Universiteit Amsterdam,,,,
JECOL,1992,1924,Jan,NA,Vangroenendael,NA,,Wageningen University & Research,,,,
NEWPHYT,2004,3483,Sonia,NA,Sultan,NA,,Wesleyan University,,,,
NEWPHYT,2009,3483,Sonia,NA,Sultan,NA,,Wesleyan University,,,,
JANE,2005,316,Bryan,NA,Manly,NA,,Western Ecosyst Technol,,,,
JANE,2013,316,Bryan,NA,Manly,NA,,Western Ecosyst Technol,,,,
NEWPHYT,2014,2577,Mark,Green,Tjoelker,NA,,Western Sydney University,,,,
